"","gene","CTX-M-DSVA1","CTX-M-DSVA2","CTX-M-DSVA3","CTX-M-DSVA4","STR-M-DSVA1","STR-M-DSVA2","STR-M-DSVA3","STR-M-DSVA4"
"214","1700017L05Rik",0,0,0,0,0,0,0,0
"215","1700017M07Rik",5.35,2.14,8.02,3.94,0.67,9.14,5.37,2.03
"216","1700017N19Rik",0,0,0,0,0,0,0,0.68
"217","1700018A04Rik",0,1.07,4.01,7.87,1.34,4.22,2.68,6.76
"218","1700018A14Rik",0,2.14,2.67,0,0,2.11,0,0
"219","1700018A23Rik",0,0,0,0,1.34,0,0.89,0
"220","1700018B08Rik",0,0,0,0,0,0,0,1.35
"221","1700018B24Rik",0,1.07,0,0,0,0,0,0
"222","1700018F24Rik",0,0,0,0,0,0,0,0
"223","1700018G05Rik",0,0,0,0,0,0,0,0
"224","1700018L02Rik",14.26,4.29,24.07,3.94,8.73,10.54,12.53,6.76
"225","1700018M17Rik",0,0,0,0,0,0,0,0
"226","1700018P08Rik",0,0,0,0,0,0,0,0
"227","1700019A02Rik",1.78,3.21,4.01,3.94,2.69,4.22,5.37,0
"228","1700019A23Rik",0,2.14,0,0,0,0,0,0
"229","1700019C18Rik",0,1.07,2.67,0,0,1.41,0,0
"230","1700019D03Rik",575.56,595.67,514.89,558.85,390.07,222.75,300.61,216.96
"231","1700019E08Rik",0,0,0,0,0,0,0,0
"232","1700019F05Rik",0,0,0,0,0,0,0,0
"233","1700019G24Rik",10.69,0,0,5.25,6.71,16.16,9.84,10.81
"234","1700019J19Rik",0,0,0,2.62,2.69,0,0,0
"235","1700019L13Rik",1.78,1.07,2.67,1.31,0.67,0.7,0.89,0.68
"236","1700019M22Rik",0,0,0,0,0,0,0,0
"237","1700019N19Rik",0,0,5.35,2.62,10.74,13.35,7.16,4.06
"238","1700019P21Rik",0,0,0,0,0,0,0,0
"239","1700020A23Rik",0,0,0,0,0,0,0,0
"240","1700020D05Rik",14.26,4.29,16.05,6.56,1.34,2.81,0,0
"241","1700020D12Rik",0,0,0,0,0,0.7,0,0
"242","1700020G03Rik",0,1.07,0,0,0,0,0,0
"243","1700020G17Rik",0,0,0,0,0,2.11,0.89,1.35
"244","1700020L24Rik",1.78,1.07,5.35,7.87,5.37,7.03,6.26,1.35
"245","1700020M21Rik",0,0,0,0,0,0,0,2.03
"246","1700020N01Rik",0,4.29,2.67,2.62,0,0,0,1.35
"247","1700020N15Rik",0,0,0,0,0,0,0,0
"248","1700020N18Rik",8.91,7.5,9.36,11.81,3.36,1.41,1.79,1.35
"249","1700021A07Rik",0,0,0,0,0,0,0,0
"250","1700021F02Rik",0,0,0,0,0,0,0,0
"251","1700021F07Rik",0,0,1.34,1.31,6.71,6.32,12.53,6.76
"252","1700021F13Rik",0,0,0,0,0,0,0,0
"253","1700021G15Rik",0,0,0,0,0,0,0,0
"254","1700021J08Rik",0,0,2.67,0,0,0.7,0,0
"255","1700021L23Rik",0,0,0,1.31,0,1.41,0,0
"256","1700021N21Rik",0,0,4.01,1.31,1.34,1.41,0,0
"257","1700021P04Rik",0,0,0,0,0,0,0,0
"258","1700022A21Rik",0,0,0,0,0,0,0,0
"259","1700022A22Rik",0,0,0,0,0,0,0,0
"260","1700022E09Rik",0,0,0,0,0,0,0,0
"261","1700022H01Rik",3.56,0,0,1.31,1.34,4.22,2.68,0.68
"262","1700022H16Rik",0,0,0,0,0,0,0,0
"263","1700022I11Rik",0,2.14,5.35,1.31,9.4,7.03,4.47,2.03
"264","1700022N22Rik",1.78,3.21,6.69,11.81,2.69,7.73,3.58,4.06
"265","1700023B13Rik",1.78,2.14,0,0,0.67,0,0,0.68
"266","1700023C21Rik",0,0,0,0,0,0,0,0
"267","1700023F02Rik",0,3.21,0,3.94,3.36,2.11,1.79,1.35
"268","1700023G09Rik",0,0,0,0,0,0,0,0
"269","1700023H06Rik",0,1.07,0,1.31,0,0,0,0
"270","1700024B05Rik",0,0,0,0,0,0,0,0
"271","1700024B18Rik",1.78,0,0,0,0,0,0,0
"272","1700024G13Rik",7.13,0,1.34,1.31,8.06,38.65,25.95,22.3
"273","1700024I08Rik",0,0,0,0,0,0,0,0
"274","1700024J04Rik",0,1.07,0,0,0,0,0,0
"275","1700025A08Rik",12.47,1.07,1.34,1.31,0,0,0,0.68
"276","1700025B11Rik",0,2.14,0,0,0,0,0,0
"277","1700025C18Rik",0,0,0,0,0,0,0,0
"278","1700025D23Rik",0,0,1.34,1.31,0.67,0,0,0.68
"279","1700025F24Rik",0,0,0,0,0,0,0,0
"280","1700025G04Rik",4559.9,4400.05,4894.81,4485.21,3015.81,2825.53,2872.75,2900.2
"281","1700025H01Rik",0,0,0,0,0,0,0,0
"282","1700025J12Rik",0,1.07,0,1.31,0,0,0,0
"283","1700025K04Rik",0,0,0,0,0,0,0,0
"284","1700025K24Rik",0,0,1.34,0,0,0,0,0
"285","1700025L06Rik",0,0,0,0,0,0,0,0
"286","1700025M24Rik",0,0,0,0,0,0,0,0
"287","1700025N21Rik",0,0,0,0,0,0,0,0
"288","1700025N23Rik",0,0,0,0,0,0.7,0,0
"289","1700025O08Rik",0,0,0,0,0,0,0,0
"290","1700026D11Rik",0,0,0,1.31,0,0,0,0
"291","1700026F02Rik",0,1.07,0,0,0,0,0,0
"292","1700026J12Rik",0,0,0,0,0,0,0,0
"293","1700026J14Rik",10.69,4.29,12.04,6.56,2.69,4.92,4.47,2.03
"294","1700026N04Rik",0,1.07,0,0,0,0,0,0
"295","1700027A07Rik",7.13,2.14,1.34,2.62,4.7,2.81,2.68,2.03
"296","1700027A15Rik",0,1.07,0,0,0.67,0,0,2.03
"297","1700027F06Rik",0,0,0,0,0,0,0,0
"298","1700027F09Rik",0,0,0,0,0,0,0,0
"299","1700027H10Rik",0,0,0,0,0,0,0.89,0
"300","1700027I24Rik",0,0,0,0,0,0,0,0
"301","1700027J07Rik",3.56,0,0,0,0,0,0,0.68
"302","1700028B04Rik",5.35,3.21,5.35,2.62,1.34,0,0.89,0
"303","1700028D13Rik",0,0,0,0,0,0,0,0
"304","1700028E10Rik",32.07,41.78,28.08,49.85,27.53,39.35,37.58,27.71
"305","1700028I16Rik",0,2.14,0,0,0,1.41,0,1.35
"306","1700028J19Rik",40.98,22.5,24.07,20.99,11.41,7.03,14.31,20.95
"307","1700028K03Rik",21.38,22.5,5.35,10.49,10.74,5.62,8.05,5.41
"308","1700028M03Rik",5.35,0,0,0,0,0,0,0
"309","1700028N14Rik",0,3.21,0,0,0,0,0,1.35
"310","1700028P14Rik",14.26,27.86,21.4,30.17,16.11,48.49,10.74,16.22
"311","1700028P15Rik",0,0,0,0,0,0,0,0
"312","1700029B22Rik",0,0,0,0,0,0,0,0
"313","1700029B24Rik",0,0,0,0,0,0,0,0
