"","gene","CTX-M-DSVA1","CTX-M-DSVA2","CTX-M-DSVA3","CTX-M-DSVA4","STR-M-DSVA1","STR-M-DSVA2","STR-M-DSVA3","STR-M-DSVA4","baseMean","log2FC","log2FCunshrunk","pvalue","padj"
"35126","Gm6030",19.6,15,14.71,11.81,7.39,6.32,4.47,10.81,11.3,-0.62,-1.05,0.03868,0.08255
"35127","Gm6031",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35128","Gm6032",0,0,0,1.31,0,0,0,0,0.2,-0.08,-1.61,0.64874,NA
"35129","Gm6034",0,0,1.34,0,0,0,0,0.68,0.3,-0.04,-0.89,0.80151,NA
"35130","Gm6035",5.35,1.07,1.34,2.62,1.34,2.11,0.89,0.68,1.9,-0.22,-0.97,0.41028,0.54713
"35131","Gm6038",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35132","Gm6039",3.56,0,0,0,0,0.7,0,0,0.5,-0.11,-1.81,0.55503,NA
"35133","Gm6040",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35134","Gm6043",0,8.57,4.01,1.31,4.03,1.41,0,0.68,2.5,-0.25,-1.21,0.35169,0.48774
"35135","Gm6044",0,1.07,1.34,6.56,0,0.7,0.89,0,1.3,-0.4,-2.61,0.1394,0.23728
"35136","Gm6047",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35137","Gm6048",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35138","Gm6049",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35139","Gm6051",7.13,1.07,1.34,2.62,2.01,4.22,6.26,0,3.1,0.02,0.08,0.94164,0.96588
"35140","Gm6052",17.82,9.64,8.02,13.12,2.01,3.51,6.26,4.06,8.1,-0.9,-1.62,0.00953,0.02468
"35141","Gm6054",8.91,2.14,1.34,0,2.01,1.41,0,0.68,2.1,-0.3,-1.5,0.27617,0.40482
"35142","Gm6055",81.97,109.28,68.21,82.65,54.38,41.46,42.94,31.09,64,-0.87,-1.02,8e-05,0.00033
"35143","Gm6056",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35144","Gm6057",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35145","Gm6058",0,0,0,0,0.67,0.7,1.79,0,0.4,0.11,1.65,0.55645,NA
"35146","Gm6059",0,0,0,0,0.67,0,0,0,0.1,-0.01,-0.17,0.9623,NA
"35147","Gm6060",0,0,1.34,1.31,0.67,0,0,0,0.4,-0.11,-1.65,0.55763,NA
"35148","Gm6061",3.56,1.07,1.34,1.31,0,0.7,0,2.7,1.3,-0.16,-1.01,0.51277,0.64404
"35149","Gm6062",0,2.14,0,1.31,0,0,0,0,0.4,-0.16,-2.72,0.3892,NA
