"","gene","CTX-M-CRE1","CTX-M-CRE2","CTX-M-CRE3","CTX-M-DSVA1","CTX-M-DSVA2","CTX-M-DSVA3","CTX-M-DSVA4","CTX-M-XDP1","CTX-M-XDP2","CTX-M-XDP3"
"272","1700024G13Rik",0.9,2.19,0.78,6.55,0,1.21,1.2,0,22.49,5.97
"273","1700024I08Rik",0,0,0,0,0,0,0,0,0,0
"274","1700024J04Rik",0,0,0,0,0.98,0,0,0,0,0
"275","1700025A08Rik",0,2.19,1.55,11.46,0.98,1.21,1.2,0,1.45,0
"276","1700025B11Rik",0,0,0,0,1.96,0,0,0,0,0
"277","1700025C18Rik",0,0,0,0,0,0,0,0,0,0
"278","1700025D23Rik",0.9,0,0,0,0,1.21,1.2,0,0,0
"279","1700025F24Rik",0,0,2.33,0,0,0,0,0,0.73,0
"280","1700025G04Rik",3377.02,3517.84,3478.05,4190.11,4030.52,4441.53,4092.9,3856.88,3143.07,3431.86
"281","1700025H01Rik",0,0,0,0,0,0,0,0,0,0
"282","1700025J12Rik",0,0,2.33,0,0.98,0,1.2,3.48,0,0
"283","1700025K04Rik",0,0,0,0,0,0,0,0,0,0
"284","1700025K24Rik",0,0,3.11,0,0,1.21,0,0,0,0
"285","1700025L06Rik",0,0,0,0,0,0,0,0,0,0
"286","1700025M24Rik",0,0,0,0,0,0,0,0,0,0
"287","1700025N21Rik",0,0,0,0,0,0,0,0,0,0
"288","1700025N23Rik",0,0,0,0,0,0,0,0,0,0
"289","1700025O08Rik",0,0,0,0,0,0,0,0,0,0
"290","1700026D11Rik",0,1.1,1.55,0,0,0,1.2,0,0.73,0
"291","1700026F02Rik",0,0,0,0,0.98,0,0,0,0,0
"292","1700026J12Rik",0,0,0,0,0,0,0,0,0,0
"293","1700026J14Rik",2.7,2.19,3.88,9.82,3.93,10.92,5.99,5.22,0,2.56
"294","1700026N04Rik",0,0,0,0,0.98,0,0,0,0,0
"295","1700027A07Rik",0,5.48,0,6.55,1.96,1.21,2.39,0.87,5.08,2.56
"296","1700027A15Rik",0.9,0,0,0,0.98,0,0,0,0,0
"297","1700027F06Rik",0,0,0,0,0,0,0,0,0,0
"298","1700027F09Rik",0,0,0,0,0,0,0,0,0,0
"299","1700027H10Rik",2.7,0,0,0,0,0,0,0,0.73,0
"300","1700027I24Rik",0,0,0,0,0,0,0,0,0,0
"301","1700027J07Rik",0,0,0,3.27,0,0,0,0,0,0
"302","1700028B04Rik",2.7,0,0.78,4.91,2.94,4.85,2.39,0.87,2.18,0
"303","1700028D13Rik",0,0,0,0,0,0,0,0,0,0
"304","1700028E10Rik",33.29,36.19,55.12,29.47,38.27,25.48,45.49,27.87,17.41,28.14
"305","1700028I16Rik",0,0,0,0,1.96,0,0,0.87,0,0
"306","1700028J19Rik",10.8,17.55,25.62,37.66,20.61,21.84,19.15,18.29,20.31,21.32
"307","1700028K03Rik",6.3,2.19,7.76,19.65,20.61,4.85,9.58,14.8,2.9,10.23
"308","1700028M03Rik",0,0,0,4.91,0,0,0,0,0,0
"309","1700028N14Rik",0,0,0,0,2.94,0,0,0,0,0
"310","1700028P14Rik",17.1,40.57,24.07,13.1,25.52,19.42,27.53,17.42,36.99,27.29
"311","1700028P15Rik",0,0,0,0,0,0,0,0,0,0
"312","1700029B22Rik",0,0,0,0,0,0,0,0,0,0
"313","1700029B24Rik",0,0,0,0,0,0,0,0,0,0
"314","1700029E06Rik",0,0,0,0,0,0,0,0,0,0
"315","1700029F12Rik",0,0,0,0,0,0,0,0,0,0
"316","1700029H14Rik",0,0,1.55,0,0,2.43,1.2,0,0.73,0
"317","1700029I15Rik",20.7,13.16,17.86,26.2,23.55,36.41,31.12,20.9,18.86,11.09
"318","1700029J03Rik",0,0,0,0,0,0,0,0,0,0
"319","1700029J07Rik",14.4,19.74,31.05,55.67,60.85,38.83,38.31,19.16,26.84,12.79
"320","1700029M03Rik",0,0,0,0,0,0,0,0,0,0
"321","1700029M20Rik",0,0,0.78,0,0.98,3.64,0,0,0.73,0.85
"322","1700029N11Rik",0,0,0,0,0,0,0,0,0,0
"323","1700029P11Rik",0,0,0,0,0,0,0,0,0,0
"324","1700030A11Rik",0,0,1.55,0,1.96,0,1.2,0,2.18,0
"325","1700030C10Rik",4.5,5.48,6.99,4.91,17.66,1.21,3.59,10.45,7.98,8.53
"326","1700030C12Rik",3.6,3.29,3.88,0,1.96,1.21,2.39,0.87,8.7,0
"327","1700030C14Rik",0,8.77,17.08,9.82,2.94,1.21,9.58,2.61,1.45,1.71
"328","1700030E10Rik",0,0,0,0,0,0,0,0,0,0
