"","gene","STR-M-CRE1","STR-M-CRE2","STR-M-CRE3","STR-M-DSVA1","STR-M-DSVA2","STR-M-DSVA3","STR-M-DSVA4","STR-M-XDP1","STR-M-XDP2","STR-M-XDP3"
"2633","AC120367.1",0,0,0,0,0,0,0,0,0,0
"2634","AC120787.1",0,0,0,0,0,0,0,0,0,0
"2635","AC121143.1",0,0,0,0,0,0,0,0,0,0
"2636","AC121573.1",0,0,0,0,0,0,0,0,0,0
"2637","AC122792.1",0,0,0,0,0,0,0,0,0,0
"2638","AC122821.1",0,1.11,0,3.06,1.61,1.01,0.77,0,6.46,1.13
"2639","AC122843.1",0,0,0,0,0,0,0,0,0,0
"2640","AC122861.1",0,0,0,0,0,0,0,0,0,0
"2641","AC123687.1",0,0,0,0,0,0,0,1.09,0,0
"2642","AC123856.1",0,0,0,0,0,0,0,0,0,0
"2643","AC124502.1",2.76,25.56,1.2,1.53,8.06,0,5.37,5.44,7.75,5.66
"2644","AC124542.1",0,0,0,0,0,0,0,0,0,0
"2645","AC124742.1",0,0,0,0,0,0,0,0,0,0
"2646","AC124764.1",0,0,0,0,0,0,0,0,0,0
"2647","AC125120.1",0,0,0,0,0,0,0,0,0,0
"2648","AC126262.1",0,0,0,0,0,0,0,0,0,0
"2649","AC127285.1",0,0,0,0,0,0,0,0,0,0
"2650","AC131692.1",0,0,0,0,0,1.01,0,0,0,0
"2651","AC131980.1",0,1.11,2.4,0,0,0,0,0,0,0
"2652","AC132288.1",10.14,8.89,1.2,7.65,8.87,1.01,3.07,3.26,11.63,11.32
"2653","AC132407.1",0,0,0,0,0,0,0,0,0,0
"2654","AC132410.1",0,0,0,0,0,0,0,0,0,0
"2655","AC132945.1",0,0,0,0,0,0,0,0,0,0
"2656","AC133946.1",0,0,0,0,0,0,0,0,0,0
"2657","AC134333.1",0,0,0,0,0,0,0,0,0,0
"2658","AC134836.1",0,0,0,0,0,0,0,0,0,0
"2659","AC135859.1",1.84,0,0,1.53,0,0,1.53,1.09,2.58,0
"2660","AC136456.1",0,0,0,0,0,0,0,0,0,0
"2661","AC137708.1",0,0,0,0,0,0,0,0,0,0
"2662","AC138676.1",0,0,0,0,0,0,0,0,0,0
"2663","AC139063.1",0,0,0,0,0,0,0,0,0,0
"2664","AC139131.1",8.29,16.67,12.01,3.83,11.28,11.13,24.54,19.59,19.39,15.85
"2665","AC139347.1",0,0,0,0,0,0,0,0,0,1.13
"2666","AC139579.1",0,0,0,0,0,0,0,0,0,0
"2667","AC140192.1",0,0,0,0,0,0,0,0,0,0
"2668","AC140267.1",0,0,0,0,0,0,0,0,0,0
"2669","AC140982.1",0,0,0,0,0,0,0,0,0,0
"2670","AC141477.1",0,0,0,0,0,0,0,0,0,0
"2671","AC141640.1",0,0,0,0,0,0,0,0,0,0
"2672","AC141882.1",0,0,0,0,0,0,0,0,0,0
"2673","AC142100.1",13.82,21.12,10.81,15.3,20.95,22.26,8.43,13.06,7.75,18.11
"2674","AC142112.1",0,0,0,0,0,0,0,0,0,0
"2675","AC147806.1",0,0,0,0,0,0,0,0,0,0
"2676","AC147806.2",0,0,0,0,0,0,0,0,0,0
"2677","AC147806.3",0,0,0,0,0,0,0,0,0,0
"2678","AC150312.1",0,0,2.4,1.53,3.22,0,0.77,0,2.58,1.13
"2679","AC151602.1",11.06,16.67,2.4,6.12,61.25,15.18,22.24,33.73,32.31,12.45
"2680","AC152418.1",0,0,0,0,0,0,0,0,0,0
"2681","AC153376.1",0,0,0,0,0,0,0,0,0,0
